[2016.10.15_01:42:37]: Polling 20 times per second
Starting camera with hflip=False, vflip=False, resolution=1920x1088, framerate=10

PRESS [ENTER] TO QUIT!

[2016.10.15_01:42:44]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:44]: steer | time since last face 1476538963.54s
[2016.10.15_01:42:44]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:44]: faces | 1 new face(s) detected, nearest at -2.92%
[2016.10.15_01:42:44]: motor | Last face detected 0.00s ago
[2016.10.15_01:42:44]: motor | Speeding up!
[2016.10.15_01:42:44]: MOTOR | FINAL DECISION SENT: 99.9998998642
[2016.10.15_01:42:44]: steer | time since last face 0.05s
[2016.10.15_01:42:44]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:44]: motor | Last face detected 0.16s ago
[2016.10.15_01:42:44]: motor | Speeding up!
[2016.10.15_01:42:44]: MOTOR | FINAL DECISION SENT: 98.3985996246
[2016.10.15_01:42:44]: steer | time since last face 0.19s
[2016.10.15_01:42:44]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:44]: steer | time since last face 0.37s
[2016.10.15_01:42:44]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:45]: steer | time since last face 0.54s
[2016.10.15_01:42:45]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:45]: steer | time since last face 0.71s
[2016.10.15_01:42:45]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:45]: steer | time since last face 0.88s
[2016.10.15_01:42:45]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:45]: motor | Last face detected 1.09s ago
[2016.10.15_01:42:45]: motor | Staying at full speed!
[2016.10.15_01:42:45]: MOTOR | FINAL DECISION SENT: 70
[2016.10.15_01:42:45]: steer | time since last face 1.15s
[2016.10.15_01:42:45]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:45]: motor | Last face detected 1.39s ago
[2016.10.15_01:42:45]: motor | Staying at full speed!
[2016.10.15_01:42:45]: MOTOR | FINAL DECISION SENT: 70
[2016.10.15_01:42:46]: steer | time since last face 1.48s
[2016.10.15_01:42:46]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:46]: obstc | Verified obstacle in 47.00cm
[2016.10.15_01:42:46]: motor | Last face detected 1.67s ago
[2016.10.15_01:42:46]: motor | Staying at full speed!
[2016.10.15_01:42:46]: motor | obstacle in: 47cm
[2016.10.15_01:42:46]: motor | Slowing down because of obstacle
[2016.10.15_01:42:46]: MOTOR | FINAL DECISION SENT: 88.4285714286
[2016.10.15_01:42:46]: steer | time since last face 1.75s
[2016.10.15_01:42:46]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:46]: steer | time since last face 1.97s
[2016.10.15_01:42:46]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:46]: motor | Last face detected 2.15s ago
[2016.10.15_01:42:46]: motor | Staying at full speed!
[2016.10.15_01:42:46]: MOTOR | FINAL DECISION SENT: 70
[2016.10.15_01:42:46]: steer | time since last face 2.18s
[2016.10.15_01:42:46]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:46]: faces | 1 new face(s) detected, nearest at -9.06%
[2016.10.15_01:42:46]: motor | Last face detected 0.00s ago
[2016.10.15_01:42:46]: motor | Staying at full speed!
[2016.10.15_01:42:46]: MOTOR | FINAL DECISION SENT: 70
[2016.10.15_01:42:46]: steer | time since last face 0.04s
[2016.10.15_01:42:46]: STEER | TURNING: 95.015625
[2016.10.15_01:42:46]: motor | Last face detected 0.16s ago
[2016.10.15_01:42:46]: motor | Staying at full speed!
[2016.10.15_01:42:46]: MOTOR | FINAL DECISION SENT: 70
[2016.10.15_01:42:47]: steer | time since last face 0.18s
[2016.10.15_01:42:47]: STEER | TURNING: 95.015625
[2016.10.15_01:42:47]: steer | time since last face 0.37s
[2016.10.15_01:42:47]: STEER | TURNING: 95.015625
[2016.10.15_01:42:47]: motor | Last face detected 0.53s ago
[2016.10.15_01:42:47]: motor | Staying at full speed!
[2016.10.15_01:42:47]: MOTOR | FINAL DECISION SENT: 70
[2016.10.15_01:42:47]: steer | time since last face 0.56s
[2016.10.15_01:42:47]: STEER | TURNING: 95.015625
[2016.10.15_01:42:47]: motor | Last face detected 0.74s ago
[2016.10.15_01:42:47]: motor | Staying at full speed!
[2016.10.15_01:42:47]: MOTOR | FINAL DECISION SENT: 70
[2016.10.15_01:42:47]: steer | time since last face 0.77s
[2016.10.15_01:42:47]: STEER | TURNING: 95.015625
[2016.10.15_01:42:47]: obstc | Verified obstacle in 46.00cm
